study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,rating,instrument_symptom,primary_instrument,cov_time_point,study_time_point,time_days,time_weeks,primary_timepoint,post_crossover,n_arm1,mean_arm1,sd_arm1,n_arm2,mean_arm2,sd_arm2,n_change_arm1,mean_change_arm1,sd_change_arm1,n_change_arm2,mean_change_arm2,sd_change_arm2,event_arm1,totaln_arm1,event_arm2,totaln_arm2,baseline_m_arm1,baseline_sd_arm1,baseline_n_arm1,baseline_m_arm2,baseline_sd_arm2,baseline_n_arm2,d1,d2,d3,d4,d5,rob,year,drug_arm1,drug_arm2,dose_arm1,dose_arm2,name_arm1,name_arm2,n_dosing_sessions,cumulative_dose_arm1,cumulative_dose_arm2,dose_days,dose_weeks,mean_age,percent_women,diagnosis,target_group,design,blinding,doi,registration_number,full_ref
Carhart-Harris 2021,psil,esc,NA,NA,change,bdi-1a,self-report,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,-18.4,12.295812515422098,29.0,-10.8,9.6163657270259,NA,NA,NA,NA,29.1,6.8,30.0,28.7,7.0,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,change,ham-d-17,clinician,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,-10.5,5.477225575051661,29.0,-5.1,5.385164807134504,NA,NA,NA,NA,19.2,2.3,30.0,18.4,3.4,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,change,madrs,clinician,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,-14.4,9.311283477587823,29.0,-7.2,9.154780172128657,NA,NA,NA,NA,27.9,4.0,30.0,26.9,5.3,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,change,fs,self-report,well-being,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,14.4,9.311283477587823,29.0,9.0,9.154780172128657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,change,stai,self-report,anxiety,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,-17.6,12.049896265113656,29.0,-8.5,11.84736257569591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,change,beaq,self-report,experiential avoidance,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,-10.5,12.049896265113656,29.0,-1.0,12.385879056409358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,change,wsas,self-report,functional impairment,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,-9.7,9.311283477587823,29.0,-3.8,9.154780172128657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,change,shaps,self-report,anhedonia,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,-4.7,3.2863353450309964,29.0,-2.5,3.2310988842807022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,change,wemwbs,self-report,well-being,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,15.4,10.406728592598157,29.0,7.3,10.231813133555557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,change,sidas,self-report,suicidal ideation,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,30.0,-2.0,6.008181115490342,29.0,-0.8,7.418339275134266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,msd,prsexdq,self-report  ,sexual dysfunction,0,Post-second dose 1,Week 6,42,6.0,1,NA,30.0,0.0,0.0,29.0,3.0,9.6163657270259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,msd,leis,self-report,emotional intensity,0,Post-second dose 1,Week 6,42,6.0,1,NA,30.0,4.1,4.929503017546495,29.0,-2.2,5.385164807134504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,msd,qids-sr,self-report,depression,1,Post-second dose 1,Week 6,42,6.0,1,NA,30.0,6.9,5.9,29.0,10.1,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,3.9,30.0,16.4,4.1,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,msd,bdi-1a,self-report,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,30.0,10.7,11.0,29.0,17.9,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1,6.8,30.0,28.7,7.0,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,msd,ham-d-17,clinician,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,30.0,8.3,5.5,29.0,13.6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,2.3,30.0,18.4,3.4,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,msd,madrs,clinician,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,30.0,13.0,10.0,29.0,19.8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,4.0,30.0,26.9,5.3,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,response,qids-sr,self-report,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,30.0,14,29.0,14.5,3.9,30.0,16.4,4.1,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,remission,qids-sr,self-report,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,30.0,8,29.0,14.5,3.9,30.0,16.4,4.1,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,response,bdi-1a,self-report,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,30.0,12,29.0,29.1,6.8,30.0,28.7,7.0,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,remission,bdi-1a,self-report,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,30.0,5,29.0,29.1,6.8,30.0,28.7,7.0,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,response,ham-d-17,clinician,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,30.0,7,29.0,19.2,2.3,30.0,18.4,3.4,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,response,madrs,clinician,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,30.0,6,29.0,27.9,4.0,30.0,26.9,5.3,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,remission,ham-d-17,clinician,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30.0,3,29.0,19.2,2.3,30.0,18.4,3.4,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Carhart-Harris 2021,psil,esc,NA,NA,remission,madrs,clinician,depression,0,Post-second dose 1,Week 6,42,6.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,30.0,2,29.0,27.9,4.0,30.0,26.9,5.3,29.0,Low,Low,Low,Some concerns,Low,Some concerns,2021,psilocybin,escitalopram,25 mg; 25 mg,10 mg; 20 mg,psilocybin group,escitalopram group,2,50.0,30.0,21,3.0,41.2,34.1,mdd,mdd,parallel,double-blind,10.1056/NEJMoa2032994,NCT03429075,"Carhart-Harris, R., Giribaldi, B., Watts, R., Baker-Jones, M., Murphy-Beiner, A., Murphy, R., Martell, J., Blemings, A., Erritzoe, D., & Nutt, D. J. (2021). Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine, 384(15), 1402–1411. https://doi.org/10.1056/NEJMoa2032994"
Davis 2021,psil,wl,NA,NA,msd,bdi,self-report,depression,0,Post-second dose 1,Week 5,35,5.0,0,0,13.0,8.2,8.9,11.0,35.2,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,7.0,13.0,34.5,10.0,11.0,Low,Some concerns,Some concerns,Low,Low,Some concerns,2021,psilocybin,waitlist,20 mg/70 kg; 30mg/70kg,NA,immediate treatment group,delayed treatment group,2,50.0,NA,7,1.0,39.9,66.8,mdd,mdd,crossover,open-label,10.1001/jamapsychiatry.2020.3285; 10.1177/02698811211073759,NCT03181529,"Davis, A. K., Barrett, F. S., May, D. G., Cosimano, M. P., Sepeda, N. D., Johnson, M. W., Finan, P. H., & Griffiths, R. R. (2021). Effects of Psilocybin-Assisted Therapy on Major Depressive Disorder: A Randomized Clinical Trial. JAMA Psychiatry, 78(5), 481–489. https://doi.org/10.1001/jamapsychiatry.2020.3285"
Davis 2021,psil,wl,NA,NA,msd,bdi,self-report,depression,0,Post-second dose 2,Week 8,56,8.0,1,0,13.0,8.2,7.0,11.0,35.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,7.0,13.0,34.5,10.0,11.0,Low,Some concerns,Some concerns,Low,Low,Some concerns,2021,psilocybin,waitlist,20 mg/70 kg; 30mg/70kg,NA,immediate treatment group,delayed treatment group,2,50.0,NA,28,4.0,39.9,66.8,mdd,mdd,crossover,open-label,10.1001/jamapsychiatry.2020.3285; 10.1177/02698811211073759,NCT03181529,"Davis, A. K., Barrett, F. S., May, D. G., Cosimano, M. P., Sepeda, N. D., Johnson, M. W., Finan, P. H., & Griffiths, R. R. (2021). Effects of Psilocybin-Assisted Therapy on Major Depressive Disorder: A Randomized Clinical Trial. JAMA Psychiatry, 78(5), 481–489. https://doi.org/10.1001/jamapsychiatry.2020.3285"
Davis 2021,psil,wl,NA,NA,msd,qids-sr,self-report,depression,0,Post-second dose 1,Week 5,35,5.0,0,0,13.0,5.2,4.6,11.0,31.9,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,3.6,13.0,17.4,3.6,11.0,Low,Some concerns,Some concerns,Low,Low,Some concerns,2021,psilocybin,waitlist,20 mg/70 kg; 30mg/70kg,NA,immediate treatment group,delayed treatment group,2,50.0,NA,7,1.0,39.9,66.8,mdd,mdd,crossover,open-label,10.1001/jamapsychiatry.2020.3285; 10.1177/02698811211073759,NCT03181529,"Davis, A. K., Barrett, F. S., May, D. G., Cosimano, M. P., Sepeda, N. D., Johnson, M. W., Finan, P. H., & Griffiths, R. R. (2021). Effects of Psilocybin-Assisted Therapy on Major Depressive Disorder: A Randomized Clinical Trial. JAMA Psychiatry, 78(5), 481–489. https://doi.org/10.1001/jamapsychiatry.2020.3285"
Davis 2021,psil,wl,NA,NA,msd,qids-sr,self-report,depression,0,Post-second dose 2,Week 8,56,8.0,1,0,13.0,5.5,3.6,11.0,17.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,3.6,13.0,17.4,3.6,11.0,Low,Some concerns,Some concerns,Low,Low,Some concerns,2021,psilocybin,waitlist,20 mg/70 kg; 30mg/70kg,NA,immediate treatment group,delayed treatment group,2,50.0,NA,28,4.0,39.9,66.8,mdd,mdd,crossover,open-label,10.1001/jamapsychiatry.2020.3285; 10.1177/02698811211073759,NCT03181529,"Davis, A. K., Barrett, F. S., May, D. G., Cosimano, M. P., Sepeda, N. D., Johnson, M. W., Finan, P. H., & Griffiths, R. R. (2021). Effects of Psilocybin-Assisted Therapy on Major Depressive Disorder: A Randomized Clinical Trial. JAMA Psychiatry, 78(5), 481–489. https://doi.org/10.1001/jamapsychiatry.2020.3285"
Davis 2021,psil,wl,NA,NA,msd,grid-ham-d,clinician,depression,1,Post-second dose 1,Week 5,35,5.0,0,0,13.0,8.0,7.1,11.0,23.8,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,3.6,13.0,22.5,4.4,11.0,Low,Some concerns,Some concerns,Low,Low,Some concerns,2021,psilocybin,waitlist,20 mg/70 kg; 30mg/70kg,NA,immediate treatment group,delayed treatment group,2,50.0,NA,7,1.0,39.9,66.8,mdd,mdd,crossover,open-label,10.1001/jamapsychiatry.2020.3285; 10.1177/02698811211073759,NCT03181529,"Davis, A. K., Barrett, F. S., May, D. G., Cosimano, M. P., Sepeda, N. D., Johnson, M. W., Finan, P. H., & Griffiths, R. R. (2021). Effects of Psilocybin-Assisted Therapy on Major Depressive Disorder: A Randomized Clinical Trial. JAMA Psychiatry, 78(5), 481–489. https://doi.org/10.1001/jamapsychiatry.2020.3285"
Davis 2021,psil,wl,NA,NA,msd,grid-ham-d,clinician,depression,1,Post-second dose 2,Week 8,56,8.0,1,0,13.0,8.5,5.7,11.0,23.5,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,3.6,13.0,22.5,4.4,11.0,Low,Some concerns,Some concerns,Low,Low,Some concerns,2021,psilocybin,waitlist,20 mg/70 kg; 30mg/70kg,NA,immediate treatment group,delayed treatment group,2,50.0,NA,28,4.0,39.9,66.8,mdd,mdd,crossover,open-label,10.1001/jamapsychiatry.2020.3285; 10.1177/02698811211073759,NCT03181529,"Davis, A. K., Barrett, F. S., May, D. G., Cosimano, M. P., Sepeda, N. D., Johnson, M. W., Finan, P. H., & Griffiths, R. R. (2021). Effects of Psilocybin-Assisted Therapy on Major Depressive Disorder: A Randomized Clinical Trial. JAMA Psychiatry, 78(5), 481–489. https://doi.org/10.1001/jamapsychiatry.2020.3285"
